origin,lien,s_human,p_human,o_human,p_category,separation,s_original,p_original,o_original
dbpedia_de,http://de.dbpedia.org/page/Henri_Carton_de_Wiart,"Cart?dbpv=2016-10&nif=phrase&char=15332,15355",ta Ident Ref ID,Henri_Carton_de_Wiart,IDENTIFIANT,,"http://de.dbpedia.org/resource/Liste_der_Biografien/Cart?dbpv=2016-10&nif=phrase&char=15332,15355",http://www.w3.org/2005/11/its/rdf#taIdentRef,http://de.dbpedia.org/resource/Henri_Carton_de_Wiart
dbpedia_de,http://de.dbpedia.org/page/Henri_Carton_de_Wiart,Henri Carton de Wiart,concerne,Henri_Carton_de_Wiart,IDENTIFIANT,,http://de.wikipedia.org/wiki/Henri_Carton_de_Wiart,http://xmlns.com/foaf/0.1/primaryTopic,http://de.dbpedia.org/resource/Henri_Carton_de_Wiart
dbpedia_fr,http://fr.dbpedia.org/page/Henry_Carton_de_Wiart,Henri Carton de Wiart,identique à,m.09d56l,IDENTIFIANT,,http://fr.dbpedia.org/resource/Henri_Carton_de_Wiart,http://www.w3.org/2002/07/owl#sameAs,http://rdf.freebase.com/ns/m.09d56l
dbpedia_fr,http://fr.dbpedia.org/page/Henry_Carton_de_Wiart,Henri Carton de Wiart,label,Henri Carton de Wiart,APPELLATION,,http://fr.dbpedia.org/resource/Henri_Carton_de_Wiart,http://www.w3.org/2000/01/rdf-schema#label,Henri Carton de Wiart
dbpedia_fr,http://fr.dbpedia.org/page/Henry_Carton_de_Wiart,Henri Carton de Wiart,métadonnées administratives,23963002,METADONNEES,,http://fr.dbpedia.org/resource/Henri_Carton_de_Wiart,http://dbpedia.org/ontology/wikiPageRevisionID,23963002
dbpedia_fr,http://fr.dbpedia.org/page/Henry_Carton_de_Wiart,Henri Carton de Wiart,métadonnées administratives,Henri_Carton_de_Wiart?oldid=23963002,METADONNEES,,http://fr.dbpedia.org/resource/Henri_Carton_de_Wiart,http://www.w3.org/ns/prov#wasDerivedFrom,http://fr.wikipedia.org/wiki/Henri_Carton_de_Wiart?oldid=23963002
dbpedia_fr,http://fr.dbpedia.org/page/Henry_Carton_de_Wiart,Henri Carton de Wiart,métadonnées administratives,92,METADONNEES,,http://fr.dbpedia.org/resource/Henri_Carton_de_Wiart,http://dbpedia.org/ontology/wikiPageOutDegree,92
dbpedia_fr,http://fr.dbpedia.org/page/Henry_Carton_de_Wiart,Henri Carton de Wiart,métadonnées administratives,2492487,METADONNEES,,http://fr.dbpedia.org/resource/Henri_Carton_de_Wiart,http://dbpedia.org/ontology/wikiPageID,2492487
dbpedia_fr,http://fr.dbpedia.org/page/Henry_Carton_de_Wiart,Henri Carton de Wiart,liens wikipedia,Henry_Carton_de_Wiart,CATEGORISATION,,http://fr.dbpedia.org/resource/Henri_Carton_de_Wiart,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Henry_Carton_de_Wiart
dbpedia_fr,http://fr.dbpedia.org/page/Henry_Carton_de_Wiart,Henri Carton de Wiart,longueur page Wikipedia,35,METADONNEES,,http://fr.dbpedia.org/resource/Henri_Carton_de_Wiart,http://dbpedia.org/ontology/wikiPageLength,35
dbpedia_fr,http://fr.dbpedia.org/page/Henry_Carton_de_Wiart,Henri Carton de Wiart,redirection de page,Henry_Carton_de_Wiart,METADONNEES,,http://fr.dbpedia.org/resource/Henri_Carton_de_Wiart,http://dbpedia.org/ontology/wikiPageRedirects,http://fr.dbpedia.org/resource/Henry_Carton_de_Wiart
dbpedia_fr,http://fr.dbpedia.org/page/Henry_Carton_de_Wiart,Henri Carton de Wiart,est le sujet principal de,Henri_Carton_de_Wiart,IDENTIFIANT,,http://fr.dbpedia.org/resource/Henri_Carton_de_Wiart,http://xmlns.com/foaf/0.1/isPrimaryTopicOf,http://fr.wikipedia.org/wiki/Henri_Carton_de_Wiart
dbpedia_fr,http://fr.dbpedia.org/page/Henry_Carton_de_Wiart,Emile Vandervelde,a précédé,Henri_Carton_de_Wiart,RELATION,,http://fr.dbpedia.org/resource/Émile_Vandervelde,http://fr.dbpedia.org/property/avant,http://fr.dbpedia.org/resource/Henri_Carton_de_Wiart
dbpedia_fr,http://fr.dbpedia.org/page/Henry_Carton_de_Wiart,Émile Vandervelde  2,a succédé à,Henri_Carton_de_Wiart,RELATION,,http://fr.dbpedia.org/resource/Émile_Vandervelde__2,http://dbpedia.org/ontology/predecessor,http://fr.dbpedia.org/resource/Henri_Carton_de_Wiart
dbpedia_fr,http://fr.dbpedia.org/page/Henry_Carton_de_Wiart,Albert-Édouard Janssen,liens wikipedia,Henri_Carton_de_Wiart,CATEGORISATION,,http://fr.dbpedia.org/resource/Albert-Édouard_Janssen,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Henri_Carton_de_Wiart
dbpedia_fr,http://fr.dbpedia.org/page/Henry_Carton_de_Wiart,Gouvernement Duvieusart,liens wikipedia,Henri_Carton_de_Wiart,CATEGORISATION,,http://fr.dbpedia.org/resource/Gouvernement_Duvieusart,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Henri_Carton_de_Wiart
dbpedia_fr,http://fr.dbpedia.org/page/Henry_Carton_de_Wiart,Parti catholique,liens wikipedia,Henri_Carton_de_Wiart,CATEGORISATION,,http://fr.dbpedia.org/resource/Parti_catholique,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Henri_Carton_de_Wiart
dbpedia_fr,http://fr.dbpedia.org/page/Henry_Carton_de_Wiart,Gouvernement Carton de Wiart,liens wikipedia,Henri_Carton_de_Wiart,CATEGORISATION,,http://fr.dbpedia.org/resource/Gouvernement_Carton_de_Wiart,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Henri_Carton_de_Wiart
dbpedia_fr,http://fr.dbpedia.org/page/Henry_Carton_de_Wiart,Gouvernement Cooreman,liens wikipedia,Henri_Carton_de_Wiart,CATEGORISATION,,http://fr.dbpedia.org/resource/Gouvernement_Cooreman,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Henri_Carton_de_Wiart
dbpedia_fr,http://fr.dbpedia.org/page/Henry_Carton_de_Wiart,Gouvernement Theunis I,liens wikipedia,Henri_Carton_de_Wiart,CATEGORISATION,,http://fr.dbpedia.org/resource/Gouvernement_Theunis_I,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Henri_Carton_de_Wiart
dbpedia_fr,http://fr.dbpedia.org/page/Henry_Carton_de_Wiart,Gouvernement Vande Vyvere,liens wikipedia,Henri_Carton_de_Wiart,CATEGORISATION,,http://fr.dbpedia.org/resource/Gouvernement_Vande_Vyvere,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Henri_Carton_de_Wiart
dbpedia_fr,http://fr.dbpedia.org/page/Henry_Carton_de_Wiart,Gouvernement de Broqueville I,liens wikipedia,Henri_Carton_de_Wiart,CATEGORISATION,,http://fr.dbpedia.org/resource/Gouvernement_de_Broqueville_I,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Henri_Carton_de_Wiart
dbpedia_fr,http://fr.dbpedia.org/page/Henry_Carton_de_Wiart,Gouvernement de Broqueville III,liens wikipedia,Henri_Carton_de_Wiart,CATEGORISATION,,http://fr.dbpedia.org/resource/Gouvernement_de_Broqueville_III,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Henri_Carton_de_Wiart
dbpedia_fr,http://fr.dbpedia.org/page/Henry_Carton_de_Wiart,Liste des premiers ministres de Belgique,liens wikipedia,Henri_Carton_de_Wiart,CATEGORISATION,,http://fr.dbpedia.org/resource/Liste_des_premiers_ministres_de_Belgique,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Henri_Carton_de_Wiart
dbpedia_fr,http://fr.dbpedia.org/page/Henry_Carton_de_Wiart,Emile Vandervelde,liens wikipedia,Henri_Carton_de_Wiart,CATEGORISATION,,http://fr.dbpedia.org/resource/Émile_Vandervelde,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Henri_Carton_de_Wiart
dbpedia_fr,http://fr.dbpedia.org/page/Henry_Carton_de_Wiart,Fédération wallonne des étudiants de Louvain,liens wikipedia,Henri_Carton_de_Wiart,CATEGORISATION,,http://fr.dbpedia.org/resource/Fédération_wallonne_des_étudiants_de_Louvain,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Henri_Carton_de_Wiart
dbpedia_fr,http://fr.dbpedia.org/page/Henry_Carton_de_Wiart,Gouvernement Gaston Eyskens I,liens wikipedia,Henri_Carton_de_Wiart,CATEGORISATION,,http://fr.dbpedia.org/resource/Gouvernement_Gaston_Eyskens_I,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Henri_Carton_de_Wiart
dbpedia_fr,http://fr.dbpedia.org/page/Henry_Carton_de_Wiart,Jules Van den Heuvel,liens wikipedia,Henri_Carton_de_Wiart,CATEGORISATION,,http://fr.dbpedia.org/resource/Jules_Van_den_Heuvel,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Henri_Carton_de_Wiart
dbpedia_fr,http://fr.dbpedia.org/page/Henry_Carton_de_Wiart,Henri Carton de Wiart,concerne,Henri_Carton_de_Wiart,IDENTIFIANT,,http://fr.wikipedia.org/wiki/Henri_Carton_de_Wiart,http://xmlns.com/foaf/0.1/primaryTopic,http://fr.dbpedia.org/resource/Henri_Carton_de_Wiart
dbpedia_it,http://it.dbpedia.org/resource/Henry_Carton_de_Wiart/html,Henri Carton de Wiart,label,Henri Carton de Wiart,APPELLATION,,http://it.dbpedia.org/resource/Henri_Carton_de_Wiart,http://www.w3.org/2000/01/rdf-schema#label,Henri Carton de Wiart
dbpedia_it,http://it.dbpedia.org/resource/Henry_Carton_de_Wiart/html,Henri Carton de Wiart,métadonnées administratives,2732346,METADONNEES,,http://it.dbpedia.org/resource/Henri_Carton_de_Wiart,http://dbpedia.org/ontology/wikiPageID,2732346
dbpedia_it,http://it.dbpedia.org/resource/Henry_Carton_de_Wiart/html,Henri Carton de Wiart,liens wikipedia,Henry_Carton_de_Wiart,CATEGORISATION,,http://it.dbpedia.org/resource/Henri_Carton_de_Wiart,http://dbpedia.org/ontology/wikiPageWikiLink,http://it.dbpedia.org/resource/Henry_Carton_de_Wiart
dbpedia_it,http://it.dbpedia.org/resource/Henry_Carton_de_Wiart/html,Henri Carton de Wiart,redirection de page,Henry_Carton_de_Wiart,METADONNEES,,http://it.dbpedia.org/resource/Henri_Carton_de_Wiart,http://dbpedia.org/ontology/wikiPageRedirects,http://it.dbpedia.org/resource/Henry_Carton_de_Wiart
dbpedia_it,http://it.dbpedia.org/resource/Henry_Carton_de_Wiart/html,Henri Carton de Wiart,métadonnées administratives,Henri_Carton_de_Wiart?oldid=28929374,METADONNEES,,http://it.dbpedia.org/resource/Henri_Carton_de_Wiart,http://www.w3.org/ns/prov#wasDerivedFrom,http://it.wikipedia.org/wiki/Henri_Carton_de_Wiart?oldid=28929374
dbpedia_it,http://it.dbpedia.org/resource/Henry_Carton_de_Wiart/html,Henri Carton de Wiart,longueur page Wikipedia,35,METADONNEES,,http://it.dbpedia.org/resource/Henri_Carton_de_Wiart,http://dbpedia.org/ontology/wikiPageLength,35
dbpedia_it,http://it.dbpedia.org/resource/Henry_Carton_de_Wiart/html,Henri Carton de Wiart,est le sujet principal de,Henri_Carton_de_Wiart,IDENTIFIANT,,http://it.dbpedia.org/resource/Henri_Carton_de_Wiart,http://xmlns.com/foaf/0.1/isPrimaryTopicOf,http://it.wikipedia.org/wiki/Henri_Carton_de_Wiart
dbpedia_it,http://it.dbpedia.org/resource/Henry_Carton_de_Wiart/html,Henri Carton de Wiart,concerne,Henri_Carton_de_Wiart,IDENTIFIANT,,http://it.wikipedia.org/wiki/Henri_Carton_de_Wiart,http://xmlns.com/foaf/0.1/primaryTopic,http://it.dbpedia.org/resource/Henri_Carton_de_Wiart
dbpedia_nl,http://nl.dbpedia.org/page/Henri_Carton_de_Wiart,Henri Carton de Wiart,est un,Thing,CATEGORISATION,,http://nl.dbpedia.org/resource/Henri_Carton_de_Wiart,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Thing
dbpedia_nl,http://nl.dbpedia.org/page/Henri_Carton_de_Wiart,Henri Carton de Wiart,est un,Agent,CATEGORISATION,,http://nl.dbpedia.org/resource/Henri_Carton_de_Wiart,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://dbpedia.org/ontology/Agent
dbpedia_nl,http://nl.dbpedia.org/page/Henri_Carton_de_Wiart,Henri Carton de Wiart,est un,Person,CATEGORISATION,,http://nl.dbpedia.org/resource/Henri_Carton_de_Wiart,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://dbpedia.org/ontology/Person
dbpedia_nl,http://nl.dbpedia.org/page/Henri_Carton_de_Wiart,Henri Carton de Wiart,est un,Politician,CATEGORISATION,,http://nl.dbpedia.org/resource/Henri_Carton_de_Wiart,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://dbpedia.org/ontology/Politician
dbpedia_nl,http://nl.dbpedia.org/page/Henri_Carton_de_Wiart,Henri Carton de Wiart,est un,Agent,CATEGORISATION,,http://nl.dbpedia.org/resource/Henri_Carton_de_Wiart,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent
dbpedia_nl,http://nl.dbpedia.org/page/Henri_Carton_de_Wiart,Henri Carton de Wiart,est un,Person,CATEGORISATION,,http://nl.dbpedia.org/resource/Henri_Carton_de_Wiart,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://xmlns.com/foaf/0.1/Person
dbpedia_nl,http://nl.dbpedia.org/page/Henri_Carton_de_Wiart,Henri Carton de Wiart,est un,personne,CATEGORISATION,,http://nl.dbpedia.org/resource/Henri_Carton_de_Wiart,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.wikidata.org/entity/Q215627
dbpedia_nl,http://nl.dbpedia.org/page/Henri_Carton_de_Wiart,Henri Carton de Wiart,est un,agent,CATEGORISATION,,http://nl.dbpedia.org/resource/Henri_Carton_de_Wiart,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.wikidata.org/entity/Q24229398
dbpedia_nl,http://nl.dbpedia.org/page/Henri_Carton_de_Wiart,Henri Carton de Wiart,est un,être humain,CATEGORISATION,,http://nl.dbpedia.org/resource/Henri_Carton_de_Wiart,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.wikidata.org/entity/Q5
dbpedia_nl,http://nl.dbpedia.org/page/Henri_Carton_de_Wiart,Henri Carton de Wiart,est un,personnalité politique,CATEGORISATION,,http://nl.dbpedia.org/resource/Henri_Carton_de_Wiart,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.wikidata.org/entity/Q82955
dbpedia_nl,http://nl.dbpedia.org/page/Henri_Carton_de_Wiart,Henri Carton de Wiart,est un,Person,CATEGORISATION,,http://nl.dbpedia.org/resource/Henri_Carton_de_Wiart,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://schema.org/Person
dbpedia_nl,http://nl.dbpedia.org/page/Henri_Carton_de_Wiart,Henri Carton de Wiart,est un,NaturalPerson,CATEGORISATION,,http://nl.dbpedia.org/resource/Henri_Carton_de_Wiart,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson
dbpedia_nl,http://nl.dbpedia.org/page/Henri_Carton_de_Wiart,Henri Carton de Wiart,label,Henri Carton de Wiart,APPELLATION,,http://nl.dbpedia.org/resource/Henri_Carton_de_Wiart,http://www.w3.org/2000/01/rdf-schema#label,Henri Carton de Wiart
dbpedia_nl,http://nl.dbpedia.org/page/Henri_Carton_de_Wiart,Henri Carton de Wiart,description,"Henri Victor Marie Ghislain graaf Carton de Wiart (Brussel, 31 januari 1869 – Ukkel, 6 mei 1951) was een Belgische politicus. Hij was Eerste Minister van 1920 tot 1921.",DESCRIPTION,,http://nl.dbpedia.org/resource/Henri_Carton_de_Wiart,http://www.w3.org/2000/01/rdf-schema#comment,"Henri Victor Marie Ghislain graaf Carton de Wiart (Brussel, 31 januari 1869 – Ukkel, 6 mei 1951) was een Belgische politicus. Hij was Eerste Minister van 1920 tot 1921."
dbpedia_nl,http://nl.dbpedia.org/page/Henri_Carton_de_Wiart,Henri Carton de Wiart,identique à,m.09d56l,IDENTIFIANT,,http://nl.dbpedia.org/resource/Henri_Carton_de_Wiart,http://www.w3.org/2002/07/owl#sameAs,http://rdf.freebase.com/ns/m.09d56l
dbpedia_nl,http://nl.dbpedia.org/page/Henri_Carton_de_Wiart,Henri Carton de Wiart,identique à,Henri_Carton_de_Wiart,IDENTIFIANT,,http://nl.dbpedia.org/resource/Henri_Carton_de_Wiart,http://www.w3.org/2002/07/owl#sameAs,http://de.dbpedia.org/resource/Henri_Carton_de_Wiart
dbpedia_nl,http://nl.dbpedia.org/page/Henri_Carton_de_Wiart,Henri Carton de Wiart,identique à,Henry_Carton_de_Wiart,IDENTIFIANT,,http://nl.dbpedia.org/resource/Henri_Carton_de_Wiart,http://www.w3.org/2002/07/owl#sameAs,http://fr.dbpedia.org/resource/Henry_Carton_de_Wiart
dbpedia_nl,http://nl.dbpedia.org/page/Henri_Carton_de_Wiart,Henri Carton de Wiart,identique à,Henry_Carton_de_Wiart,IDENTIFIANT,,http://nl.dbpedia.org/resource/Henri_Carton_de_Wiart,http://www.w3.org/2002/07/owl#sameAs,http://it.dbpedia.org/resource/Henry_Carton_de_Wiart
dbpedia_nl,http://nl.dbpedia.org/page/Henri_Carton_de_Wiart,Henri Carton de Wiart,identique à,アンリ・カルトン・ドゥ・ヴィアール,IDENTIFIANT,,http://nl.dbpedia.org/resource/Henri_Carton_de_Wiart,http://www.w3.org/2002/07/owl#sameAs,http://ja.dbpedia.org/resource/アンリ・カルトン・ドゥ・ヴィアール
dbpedia_nl,http://nl.dbpedia.org/page/Henri_Carton_de_Wiart,Henri Carton de Wiart,identique à,Henri_Carton_de_Wiart,IDENTIFIANT,,http://nl.dbpedia.org/resource/Henri_Carton_de_Wiart,http://www.w3.org/2002/07/owl#sameAs,http://pt.dbpedia.org/resource/Henri_Carton_de_Wiart
dbpedia_nl,http://nl.dbpedia.org/page/Henri_Carton_de_Wiart,Henri Carton de Wiart,identique à,Henry Carton de Wiart,IDENTIFIANT,,http://nl.dbpedia.org/resource/Henri_Carton_de_Wiart,http://www.w3.org/2002/07/owl#sameAs,http://www.wikidata.org/entity/Q14990
dbpedia_nl,http://nl.dbpedia.org/page/Henri_Carton_de_Wiart,Henri Carton de Wiart,identique à,Henri_Carton_de_Wiart,IDENTIFIANT,,http://nl.dbpedia.org/resource/Henri_Carton_de_Wiart,http://www.w3.org/2002/07/owl#sameAs,http://dbpedia.org/resource/Henri_Carton_de_Wiart
dbpedia_nl,http://nl.dbpedia.org/page/Henri_Carton_de_Wiart,Henri Carton de Wiart,identique à,Henri_Carton_de_Wiart,IDENTIFIANT,,http://nl.dbpedia.org/resource/Henri_Carton_de_Wiart,http://www.w3.org/2002/07/owl#sameAs,http://nl.dbpedia.org/resource/Henri_Carton_de_Wiart
dbpedia_nl,http://nl.dbpedia.org/page/Henri_Carton_de_Wiart,Henri Carton de Wiart,identique à,Henry Carton de Wiart,IDENTIFIANT,,http://nl.dbpedia.org/resource/Henri_Carton_de_Wiart,http://www.w3.org/2002/07/owl#sameAs,http://wikidata.dbpedia.org/resource/Q14990
dbpedia_nl,http://nl.dbpedia.org/page/Henri_Carton_de_Wiart,Henri Carton de Wiart,identique à,Category:Henri_Carton_de_Wiart,IDENTIFIANT,,http://nl.dbpedia.org/resource/Henri_Carton_de_Wiart,http://www.w3.org/2002/07/owl#sameAs,http://commons.dbpedia.org/resource/Category:Henri_Carton_de_Wiart
dbpedia_nl,http://nl.dbpedia.org/page/Henri_Carton_de_Wiart,Henri Carton de Wiart,identique à,Henri_Carton_de_Wiart,IDENTIFIANT,,http://nl.dbpedia.org/resource/Henri_Carton_de_Wiart,http://www.w3.org/2002/07/owl#sameAs,http://hu.dbpedia.org/resource/Henri_Carton_de_Wiart
dbpedia_nl,http://nl.dbpedia.org/page/Henri_Carton_de_Wiart,Henri Carton de Wiart,identique à,Henricus_Carton_de_Wiart,IDENTIFIANT,,http://nl.dbpedia.org/resource/Henri_Carton_de_Wiart,http://www.w3.org/2002/07/owl#sameAs,http://la.dbpedia.org/resource/Henricus_Carton_de_Wiart
dbpedia_nl,http://nl.dbpedia.org/page/Henri_Carton_de_Wiart,Henri Carton de Wiart,identique à,Henry_Carton_de_Wiart,IDENTIFIANT,,http://nl.dbpedia.org/resource/Henri_Carton_de_Wiart,http://www.w3.org/2002/07/owl#sameAs,http://mg.dbpedia.org/resource/Henry_Carton_de_Wiart
dbpedia_nl,http://nl.dbpedia.org/page/Henri_Carton_de_Wiart,Henri Carton de Wiart,identique à,"Картон_де_Виар,_Анри",IDENTIFIANT,,http://nl.dbpedia.org/resource/Henri_Carton_de_Wiart,http://www.w3.org/2002/07/owl#sameAs,"http://ru.dbpedia.org/resource/Картон_де_Виар,_Анри"
dbpedia_nl,http://nl.dbpedia.org/page/Henri_Carton_de_Wiart,Henri Carton de Wiart,identique à,Henri_Carton_de_Wiart,IDENTIFIANT,,http://nl.dbpedia.org/resource/Henri_Carton_de_Wiart,http://www.w3.org/2002/07/owl#sameAs,http://sv.dbpedia.org/resource/Henri_Carton_de_Wiart
dbpedia_nl,http://nl.dbpedia.org/page/Henri_Carton_de_Wiart,Henri Carton de Wiart,identique à,Анрі_Картон_де_Віарт,IDENTIFIANT,,http://nl.dbpedia.org/resource/Henri_Carton_de_Wiart,http://www.w3.org/2002/07/owl#sameAs,http://uk.dbpedia.org/resource/Анрі_Картон_де_Віарт
dbpedia_nl,http://nl.dbpedia.org/page/Henri_Carton_de_Wiart,Henri Carton de Wiart,identique à,亨利·卡尔东·德维亚尔,IDENTIFIANT,,http://nl.dbpedia.org/resource/Henri_Carton_de_Wiart,http://www.w3.org/2002/07/owl#sameAs,http://zh.dbpedia.org/resource/亨利·卡尔东·德维亚尔
dbpedia_nl,http://nl.dbpedia.org/page/Henri_Carton_de_Wiart,Henri Carton de Wiart,lieu de décès,Ukkel,LOCALISATION,,http://nl.dbpedia.org/resource/Henri_Carton_de_Wiart,http://dbpedia.org/ontology/deathPlace,http://nl.dbpedia.org/resource/Ukkel
dbpedia_nl,http://nl.dbpedia.org/page/Henri_Carton_de_Wiart,Henri Carton de Wiart,date de décès,1951-5-6,DATES,,http://nl.dbpedia.org/resource/Henri_Carton_de_Wiart,http://dbpedia.org/ontology/deathDate,1951-5-6
dbpedia_nl,http://nl.dbpedia.org/page/Henri_Carton_de_Wiart,Henri Carton de Wiart,né à,Bruxelles,LOCALISATION,,http://nl.dbpedia.org/resource/Henri_Carton_de_Wiart,http://dbpedia.org/ontology/birthPlace,http://wikidata.dbpedia.org/resource/Q9005
dbpedia_nl,http://nl.dbpedia.org/page/Henri_Carton_de_Wiart,Henri Carton de Wiart,né le,1869-1-31,DATES,,http://nl.dbpedia.org/resource/Henri_Carton_de_Wiart,http://dbpedia.org/ontology/birthDate,1869-1-31
dbpedia_nl,http://nl.dbpedia.org/page/Henri_Carton_de_Wiart,Henri Carton de Wiart,prénom,Henri,APPELLATION,,http://nl.dbpedia.org/resource/Henri_Carton_de_Wiart,http://xmlns.com/foaf/0.1/givenName,Henri
dbpedia_nl,http://nl.dbpedia.org/page/Henri_Carton_de_Wiart,Henri Carton de Wiart,appartient aux catégories,Categorie:Belgisch_minister_van_Ravitaillering_en_Wederopbouw,CATEGORISATION,,http://nl.dbpedia.org/resource/Henri_Carton_de_Wiart,http://purl.org/dc/terms/subject,http://nl.dbpedia.org/resource/Categorie:Belgisch_minister_van_Ravitaillering_en_Wederopbouw
dbpedia_nl,http://nl.dbpedia.org/page/Henri_Carton_de_Wiart,Henri Carton de Wiart,appartient aux catégories,Categorie:Belgisch_minister_van_Binnenlandse_Zaken,CATEGORISATION,,http://nl.dbpedia.org/resource/Henri_Carton_de_Wiart,http://purl.org/dc/terms/subject,http://nl.dbpedia.org/resource/Categorie:Belgisch_minister_van_Binnenlandse_Zaken
dbpedia_nl,http://nl.dbpedia.org/page/Henri_Carton_de_Wiart,Henri Carton de Wiart,appartient aux catégories,Categorie:Belgisch_minister_van_Justitie,CATEGORISATION,,http://nl.dbpedia.org/resource/Henri_Carton_de_Wiart,http://purl.org/dc/terms/subject,http://nl.dbpedia.org/resource/Categorie:Belgisch_minister_van_Justitie
dbpedia_nl,http://nl.dbpedia.org/page/Henri_Carton_de_Wiart,Henri Carton de Wiart,appartient aux catégories,Categorie:Belgisch_minister_van_Sociale_Voorzorg,CATEGORISATION,,http://nl.dbpedia.org/resource/Henri_Carton_de_Wiart,http://purl.org/dc/terms/subject,http://nl.dbpedia.org/resource/Categorie:Belgisch_minister_van_Sociale_Voorzorg
dbpedia_nl,http://nl.dbpedia.org/page/Henri_Carton_de_Wiart,Henri Carton de Wiart,appartient aux catégories,Categorie:Belgisch_minister_van_Staat,CATEGORISATION,,http://nl.dbpedia.org/resource/Henri_Carton_de_Wiart,http://purl.org/dc/terms/subject,http://nl.dbpedia.org/resource/Categorie:Belgisch_minister_van_Staat
dbpedia_nl,http://nl.dbpedia.org/page/Henri_Carton_de_Wiart,Henri Carton de Wiart,appartient aux catégories,Categorie:Belgisch_volksvertegenwoordiger,CATEGORISATION,,http://nl.dbpedia.org/resource/Henri_Carton_de_Wiart,http://purl.org/dc/terms/subject,http://nl.dbpedia.org/resource/Categorie:Belgisch_volksvertegenwoordiger
dbpedia_nl,http://nl.dbpedia.org/page/Henri_Carton_de_Wiart,Henri Carton de Wiart,appartient aux catégories,Categorie:Belgische_adel,CATEGORISATION,,http://nl.dbpedia.org/resource/Henri_Carton_de_Wiart,http://purl.org/dc/terms/subject,http://nl.dbpedia.org/resource/Categorie:Belgische_adel
dbpedia_nl,http://nl.dbpedia.org/page/Henri_Carton_de_Wiart,Henri Carton de Wiart,appartient aux catégories,Categorie:Premier_van_België,CATEGORISATION,,http://nl.dbpedia.org/resource/Henri_Carton_de_Wiart,http://purl.org/dc/terms/subject,http://nl.dbpedia.org/resource/Categorie:Premier_van_België
dbpedia_nl,http://nl.dbpedia.org/page/Henri_Carton_de_Wiart,Henri Carton de Wiart,métadonnées administratives,171672,METADONNEES,,http://nl.dbpedia.org/resource/Henri_Carton_de_Wiart,http://dbpedia.org/ontology/wikiPageID,171672
dbpedia_nl,http://nl.dbpedia.org/page/Henri_Carton_de_Wiart,Henri Carton de Wiart,métadonnées administratives,47036557,METADONNEES,,http://nl.dbpedia.org/resource/Henri_Carton_de_Wiart,http://dbpedia.org/ontology/wikiPageRevisionID,47036557
dbpedia_nl,http://nl.dbpedia.org/page/Henri_Carton_de_Wiart,Henri Carton de Wiart,liens wikipedia,Categorie:Belgisch_minister_van_Ravitaillering_en_Wederopbouw,CATEGORISATION,,http://nl.dbpedia.org/resource/Henri_Carton_de_Wiart,http://dbpedia.org/ontology/wikiPageWikiLink,http://nl.dbpedia.org/resource/Categorie:Belgisch_minister_van_Ravitaillering_en_Wederopbouw
dbpedia_nl,http://nl.dbpedia.org/page/Henri_Carton_de_Wiart,Henri Carton de Wiart,liens wikipedia,Adrian_Carton_de_Wiart,CATEGORISATION,,http://nl.dbpedia.org/resource/Henri_Carton_de_Wiart,http://dbpedia.org/ontology/wikiPageWikiLink,http://nl.dbpedia.org/resource/Adrian_Carton_de_Wiart
