"s","p","o"
"http://nl.dbpedia.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/2000/01/rdf-schema#comment","Henri Victor Marie Ghislain graaf Carton de Wiart (Brussel, 31 januari 1869 – Ukkel, 6 mei 1951) was een Belgische politicus. Hij was Eerste Minister van 1920 tot 1921."
"http://nl.dbpedia.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/2002/07/owl#sameAs","http://rdf.freebase.com/ns/m.09d56l"
"http://nl.dbpedia.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/2002/07/owl#sameAs","http://de.dbpedia.org/resource/Henri_Carton_de_Wiart"
"http://nl.dbpedia.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/2002/07/owl#sameAs","http://fr.dbpedia.org/resource/Henry_Carton_de_Wiart"
"http://nl.dbpedia.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/2002/07/owl#sameAs","http://it.dbpedia.org/resource/Henry_Carton_de_Wiart"
"http://nl.dbpedia.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/2002/07/owl#sameAs","http://ja.dbpedia.org/resource/アンリ・カルトン・ドゥ・ヴィアール"
"http://nl.dbpedia.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/2002/07/owl#sameAs","http://pt.dbpedia.org/resource/Henri_Carton_de_Wiart"
"http://nl.dbpedia.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/2002/07/owl#sameAs","http://www.wikidata.org/entity/Q14990"
"http://nl.dbpedia.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/2002/07/owl#sameAs","http://dbpedia.org/resource/Henri_Carton_de_Wiart"
"http://nl.dbpedia.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/2002/07/owl#sameAs","http://nl.dbpedia.org/resource/Henri_Carton_de_Wiart"
"http://nl.dbpedia.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/2002/07/owl#sameAs","http://wikidata.dbpedia.org/resource/Q14990"
"http://nl.dbpedia.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/2002/07/owl#sameAs","http://commons.dbpedia.org/resource/Category:Henri_Carton_de_Wiart"
"http://nl.dbpedia.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/2002/07/owl#sameAs","http://hu.dbpedia.org/resource/Henri_Carton_de_Wiart"
"http://nl.dbpedia.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/2002/07/owl#sameAs","http://la.dbpedia.org/resource/Henricus_Carton_de_Wiart"
"http://nl.dbpedia.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/2002/07/owl#sameAs","http://mg.dbpedia.org/resource/Henry_Carton_de_Wiart"
"http://nl.dbpedia.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/2002/07/owl#sameAs","http://ru.dbpedia.org/resource/Картон_де_Виар,_Анри"
"http://nl.dbpedia.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/2002/07/owl#sameAs","http://sv.dbpedia.org/resource/Henri_Carton_de_Wiart"
"http://nl.dbpedia.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/2002/07/owl#sameAs","http://uk.dbpedia.org/resource/Анрі_Картон_де_Віарт"
"http://nl.dbpedia.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/2002/07/owl#sameAs","http://zh.dbpedia.org/resource/亨利·卡尔东·德维亚尔"
"http://nl.dbpedia.org/resource/Henri_Carton_de_Wiart","http://dbpedia.org/ontology/deathPlace","http://nl.dbpedia.org/resource/Ukkel"
"http://nl.dbpedia.org/resource/Henri_Carton_de_Wiart","http://dbpedia.org/ontology/deathDate","1951-5-6"
"http://nl.dbpedia.org/resource/Henri_Carton_de_Wiart","http://dbpedia.org/ontology/birthPlace","http://wikidata.dbpedia.org/resource/Q9005"
"http://nl.dbpedia.org/resource/Henri_Carton_de_Wiart","http://dbpedia.org/ontology/birthDate","1869-1-31"
"http://nl.dbpedia.org/resource/Henri_Carton_de_Wiart","http://xmlns.com/foaf/0.1/givenName","Henri"
"http://nl.dbpedia.org/resource/Henri_Carton_de_Wiart","http://purl.org/dc/terms/subject","http://nl.dbpedia.org/resource/Categorie:Belgisch_minister_van_Ravitaillering_en_Wederopbouw"
"http://nl.dbpedia.org/resource/Henri_Carton_de_Wiart","http://purl.org/dc/terms/subject","http://nl.dbpedia.org/resource/Categorie:Belgisch_minister_van_Binnenlandse_Zaken"
"http://nl.dbpedia.org/resource/Henri_Carton_de_Wiart","http://purl.org/dc/terms/subject","http://nl.dbpedia.org/resource/Categorie:Belgisch_minister_van_Justitie"
"http://nl.dbpedia.org/resource/Henri_Carton_de_Wiart","http://purl.org/dc/terms/subject","http://nl.dbpedia.org/resource/Categorie:Belgisch_minister_van_Sociale_Voorzorg"
