"s","p","o"
"http://de.dbpedia.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/2002/07/owl#sameAs","http://hu.dbpedia.org/resource/Henri_Carton_de_Wiart"
"http://de.dbpedia.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/2002/07/owl#sameAs","http://la.dbpedia.org/resource/Henricus_Carton_de_Wiart"
"http://de.dbpedia.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/2002/07/owl#sameAs","http://mg.dbpedia.org/resource/Henry_Carton_de_Wiart"
"http://de.dbpedia.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/2002/07/owl#sameAs","http://ru.dbpedia.org/resource/Картон_де_Виар,_Анри"
"http://de.dbpedia.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/2002/07/owl#sameAs","http://sv.dbpedia.org/resource/Henri_Carton_de_Wiart"
"http://de.dbpedia.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/2002/07/owl#sameAs","http://uk.dbpedia.org/resource/Анрі_Картон_де_Віарт"
"http://de.dbpedia.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/2002/07/owl#sameAs","http://zh.dbpedia.org/resource/亨利·卡尔东·德维亚尔"
"http://de.dbpedia.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/2002/07/owl#sameAs","http://de.dbpedia.org/resource/Henri_Carton_de_Wiart"
"http://de.dbpedia.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/2002/07/owl#sameAs","http://dbpedia.org/resource/Henri_Carton_de_Wiart"
"http://de.dbpedia.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/2002/07/owl#sameAs","http://wikidata.dbpedia.org/resource/Q14990"
"http://de.dbpedia.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/2002/07/owl#sameAs","http://www.wikidata.org/entity/Q14990"
"http://de.dbpedia.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/2002/07/owl#sameAs","http://fr.dbpedia.org/resource/Henry_Carton_de_Wiart"
"http://de.dbpedia.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/2002/07/owl#sameAs","http://it.dbpedia.org/resource/Henry_Carton_de_Wiart"
"http://de.dbpedia.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/2002/07/owl#sameAs","http://ja.dbpedia.org/resource/アンリ・カルトン・ドゥ・ヴィアール"
"http://de.dbpedia.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/2002/07/owl#sameAs","http://nl.dbpedia.org/resource/Henri_Carton_de_Wiart"
"http://de.dbpedia.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/2002/07/owl#sameAs","http://pt.dbpedia.org/resource/Henri_Carton_de_Wiart"
"http://de.dbpedia.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/2002/07/owl#sameAs","http://rdf.freebase.com/ns/m.09d56l"
"http://de.dbpedia.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/2002/07/owl#sameAs","http://www.viaf.org/viaf/24623115"
"http://de.dbpedia.org/resource/Henri_Carton_de_Wiart","http://dbpedia.org/ontology/wikiPageWikiLink","http://de.dbpedia.org/resource/31._Januar"
"http://de.dbpedia.org/resource/Henri_Carton_de_Wiart","http://dbpedia.org/ontology/wikiPageWikiLink","http://de.dbpedia.org/resource/6._Mai"
"http://de.dbpedia.org/resource/Henri_Carton_de_Wiart","http://dbpedia.org/ontology/wikiPageWikiLink","http://de.dbpedia.org/resource/Belgien"
"http://de.dbpedia.org/resource/Henri_Carton_de_Wiart","http://dbpedia.org/ontology/wikiPageWikiLink","http://de.dbpedia.org/resource/Bonn"
"http://de.dbpedia.org/resource/Henri_Carton_de_Wiart","http://dbpedia.org/ontology/wikiPageWikiLink","http://de.dbpedia.org/resource/Brüssel"
"http://de.dbpedia.org/resource/Henri_Carton_de_Wiart","http://dbpedia.org/ontology/wikiPageWikiLink","http://de.dbpedia.org/resource/Frankreich"
"http://de.dbpedia.org/resource/Henri_Carton_de_Wiart","http://dbpedia.org/ontology/wikiPageWikiLink","http://de.dbpedia.org/resource/Kategorie:Belgier"
