"s","p","o"
"http://wikidata.dbpedia.org/resource/Q14990","http://www.w3.org/2002/07/owl#sameAs","http://www.idref.fr/028885449/id"
"http://wikidata.dbpedia.org/resource/Q14990","http://www.w3.org/2002/07/owl#sameAs","http://freebase.com//m/09d56l"
"http://wikidata.dbpedia.org/resource/Q14990","http://www.w3.org/2002/07/owl#sameAs","http://viaf.org/viaf/24623115"
"http://wikidata.dbpedia.org/resource/Q14990","http://dbpedia.org/ontology/alias","Анри Картон де Виар"
"http://wikidata.dbpedia.org/resource/Q14990","http://dbpedia.org/ontology/birthDate","1869-1-31"
"http://wikidata.dbpedia.org/resource/Q14990","http://dbpedia.org/ontology/birthPlace","http://wikidata.dbpedia.org/resource/Q9005"
"http://wikidata.dbpedia.org/resource/Q14990","http://dbpedia.org/ontology/citizenship","http://wikidata.dbpedia.org/resource/Q31"
"http://wikidata.dbpedia.org/resource/Q14990","http://dbpedia.org/ontology/deathDate","1951-5-6"
"http://wikidata.dbpedia.org/resource/Q14990","http://dbpedia.org/ontology/deathPlace","http://wikidata.dbpedia.org/resource/Q203312"
"http://wikidata.dbpedia.org/resource/Q14990","http://dbpedia.org/ontology/occupation","http://wikidata.dbpedia.org/resource/Q82955"
"http://wikidata.dbpedia.org/resource/Q14990","http://dbpedia.org/ontology/party","http://wikidata.dbpedia.org/resource/Q792293"
"http://wikidata.dbpedia.org/resource/Q14990","http://dbpedia.org/ontology/thumbnail","http://commons.wikimedia.org/wiki/Special:FilePath/Henri_Carton_de_Wiart.jpg?width=300"
"http://wikidata.dbpedia.org/resource/Q14990","http://xmlns.com/foaf/0.1/depiction","http://commons.wikimedia.org/wiki/Special:FilePath/Henri_Carton_de_Wiart.jpg"
"http://wikidata.dbpedia.org/resource/Q14990","http://www.w3.org/ns/prov#wasDerivedFrom","http://www.wikidata.org/wiki/Q14990?oldid=304902244"
"http://wikidata.dbpedia.org/resource/Q14990","http://dbpedia.org/ontology/description","belgisk politiker"
