"s","p","o"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/2000/01/rdf-schema#label","Henri Carton de Wiart"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/2000/01/rdf-schema#label","Henri Carton de Wiart"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/2000/01/rdf-schema#label","Henri Carton de Wiart"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://yago-knowledge.org/resource/hasWikipediaUrl","http://en.wikipedia.org/wiki/Henri_Carton_de_Wiart"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://yago-knowledge.org/resource/linksTo","http://yago-knowledge.org/resource/London"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://yago-knowledge.org/resource/linksTo","http://yago-knowledge.org/resource/Jette"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://yago-knowledge.org/resource/linksTo","http://yago-knowledge.org/resource/Léon_Delacroix"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://yago-knowledge.org/resource/linksTo","http://yago-knowledge.org/resource/Catholic_Party_(Belgium)"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://yago-knowledge.org/resource/linksTo","http://yago-knowledge.org/resource/Belgium"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://yago-knowledge.org/resource/linksTo","http://yago-knowledge.org/resource/League_of_Nations"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://yago-knowledge.org/resource/linksTo","http://yago-knowledge.org/resource/Brussels"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://yago-knowledge.org/resource/linksTo","http://yago-knowledge.org/resource/Georges_Theunis"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://yago-knowledge.org/resource/linksTo","http://yago-knowledge.org/resource/Albert_I_of_Belgium"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://yago-knowledge.org/resource/linksTo","http://yago-knowledge.org/resource/Adrian_Carton_de_Wiart"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/2002/07/owl#sameAs","http://dbpedia.org/resource/Henri_Carton_de_Wiart"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://yago-knowledge.org/resource/hasWikipediaAnchorText","1869"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://yago-knowledge.org/resource/hasWikipediaAnchorText","1951"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://yago-knowledge.org/resource/hasWikipediaAnchorText","6. Mai"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://yago-knowledge.org/resource/hasWikipediaAnchorText","Arrondissement"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://yago-knowledge.org/resource/hasWikipediaAnchorText","Belgien"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://yago-knowledge.org/resource/hasWikipediaAnchorText","Bonn"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://yago-knowledge.org/resource/hasWikipediaAnchorText","Brüssel"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://yago-knowledge.org/resource/hasWikipediaAnchorText","Ersten Weltkrieg"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://yago-knowledge.org/resource/hasWikipediaAnchorText","Frankreich"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://yago-knowledge.org/resource/hasWikipediaAnchorText","Literatur"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://yago-knowledge.org/resource/hasWikipediaAnchorText","Paris"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://yago-knowledge.org/resource/hasWikipediaAnchorText","Präsident"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://yago-knowledge.org/resource/hasWikipediaAnchorText","Rechtsanwalt"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://yago-knowledge.org/resource/hasWikipediaAnchorText","Völkerbund"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://yago-knowledge.org/resource/hasWikipediaAnchorText","Wehrmacht"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://yago-knowledge.org/resource/hasWikipediaAnchorText","Zweiten Weltkrieges"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://yago-knowledge.org/resource/hasWikipediaAnchorText","Interparlamentarischen Union"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://yago-knowledge.org/resource/hasWikipediaAnchorText","Exilregierung"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://yago-knowledge.org/resource/hasWikipediaAnchorText","belgischer"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://yago-knowledge.org/resource/hasWikipediaAnchorText","katholischer"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://yago-knowledge.org/resource/hasWikipediaAnchorText","31. Januar"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://yago-knowledge.org/resource/hasWikipediaAnchorText","Gaston Eyskens"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://yago-knowledge.org/resource/hasWikipediaAnchorText","Auguste Beernaert"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://yago-knowledge.org/resource/hasWikipediaAnchorText","Léon Delacroix"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://yago-knowledge.org/resource/hasWikipediaAnchorText","König Albert I."
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://yago-knowledge.org/resource/hasWikipediaAnchorText","Prosper Poullet"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://yago-knowledge.org/resource/hasWikipediaAnchorText","Uccle"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://yago-knowledge.org/resource/hasWikipediaAnchorText","Christdemokratie"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://yago-knowledge.org/resource/hasWikipediaAnchorText","Jean Duvieusart"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://yago-knowledge.org/resource/hasWikipediaAnchorText","Luxemburgischen"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://yago-knowledge.org/resource/hasWikipediaAnchorText","Kinderschutz"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://yago-knowledge.org/resource/hasWikipediaAnchorText","Biographie in rulers.org"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://yago-knowledge.org/resource/hasWikipediaAnchorText","Ministerliste des Kabinetts 1920-1921"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://yago-knowledge.org/resource/hasWikipediaAnchorText","König Leopold III."
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://yago-knowledge.org/resource/hasWikipediaAnchorText","Belgischen Abgeordnetenkammer"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://yago-knowledge.org/resource/hasWikipediaAnchorText","Aloys van de Vijvere"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://yago-knowledge.org/resource/hasWikipediaAnchorText","Biographie auf der Homepage des Premierministers von Belgien"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://yago-knowledge.org/resource/hasWikipediaAnchorText","Charles de Broqueville"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://yago-knowledge.org/resource/hasWikipediaAnchorText","Georges Theunis"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://yago-knowledge.org/resource/hasWikipediaAnchorText","Biographie in ars-moriendi.be"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://yago-knowledge.org/resource/hasWikipediaAnchorText","Jules Renkin"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://yago-knowledge.org/resource/hasWikipediaAnchorText","Christelijke Partij"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://yago-knowledge.org/resource/hasWikipediaAnchorText","“Gasology”, Artikel im TIME-Magazine vom 18. Mai 1925"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://yago-knowledge.org/resource/hasWikipediaAnchorText","ersten Stuhles"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://yago-knowledge.org/resource/hasWikipediaAnchorText","historische Romane und Reiseberichte"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://yago-knowledge.org/resource/hasWikipediaAnchorText","Belgium"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://yago-knowledge.org/resource/hasWikipediaAnchorText","Brussels"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://yago-knowledge.org/resource/hasWikipediaAnchorText","League of Nations"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://yago-knowledge.org/resource/hasWikipediaAnchorText","London"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://yago-knowledge.org/resource/hasWikipediaAnchorText","Prime Minister of Belgium"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://yago-knowledge.org/resource/hasWikipediaAnchorText","Catholic Party"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://yago-knowledge.org/resource/hasWikipediaAnchorText","Jette"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://yago-knowledge.org/resource/hasWikipediaAnchorText","Albert I"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://yago-knowledge.org/resource/hasWikipediaAnchorText","Georges Theunis"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://yago-knowledge.org/resource/hasWikipediaAnchorText","minister of justice"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://yago-knowledge.org/resource/hasWikipediaAnchorText","Adrian Carton de Wiart"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://yago-knowledge.org/resource/hasWikipediaAnchorText","Léon Delacroix"
